iter	RMSE
0	0.9781528745
1	0.9535784622
2	0.9296971289
3	0.9066362092
4	0.8843312466
5	0.8627680832
6	0.8418211721
7	0.8225305732
8	0.8032563991
9	0.7844591447
10	0.7664387219
11	0.7492416549
12	0.7325390099
13	0.7164092828
14	0.7014252702
15	0.6863053213
16	0.6716892275
17	0.6585018191
18	0.6449727758
19	0.6321228855
20	0.6199503319
21	0.6081122313
22	0.5966260303
23	0.5857790015
24	0.5752957719
25	0.5651515854
26	0.5555575722
27	0.5465620514
28	0.5381103183
29	0.5295818029
30	0.5214730125
31	0.5136831337
32	0.5061876256
33	0.4992077341
34	0.4926461376
35	0.4861246072
36	0.4798414362
37	0.4739968915
38	0.4683107916
39	0.4628955092
40	0.4578605852
41	0.4528794394
42	0.4481640347
43	0.4437297939
44	0.4393813248
45	0.4351335394
46	0.4313144561
47	0.4276392273
48	0.4243124871
49	0.4209121731
50	0.4179079982
51	0.4148894898
52	0.4119304824
53	0.4095057912
54	0.4066701173
55	0.4043302825
56	0.4015165357
57	0.39873999
58	0.3963694952
59	0.3939653231
60	0.3917166441
61	0.389610445
62	0.3876173128
63	0.385646871
64	0.3838028039
65	0.3820357842
66	0.3804574748
67	0.3789469888
68	0.3775103348
69	0.3761436984
70	0.3746860936
71	0.3732964267
72	0.3719408481
73	0.3705996279
74	0.3693986418
75	0.3682136896
76	0.367093018
77	0.3659408518
78	0.3649535711
79	0.3639898618
80	0.3631061923
81	0.3622479825
82	0.3614731221
83	0.3606344953
84	0.3598638945
85	0.359083142
86	0.3583527145
87	0.357624956
88	0.3570022075
89	0.3564740506
90	0.3558428705
91	0.3552677513
92	0.3547089759
93	0.3541373356
94	0.3536536878
95	0.3531361456
96	0.3526425283
97	0.3521507519
98	0.3516286452
99	0.3512018943
100	0.3507979448
101	0.3503904784
102	0.3499272677
103	0.3495181782
104	0.3491482681
105	0.3488382685
106	0.34847249
107	0.3481482487
108	0.3478536437
109	0.3475268934
110	0.3472207301
111	0.3466765545
112	0.3462547656
113	0.345842013
114	0.3454801522
115	0.3451442977
116	0.3448855594
117	0.3445504686
118	0.3443142443
119	0.3440844365
120	0.3438380965
121	0.3434571373
122	0.3431593549
123	0.3428727583
124	0.3426463148
125	0.3424570678
126	0.3422020371
127	0.3420187735
128	0.3418174816
129	0.3414845269
130	0.3412277141
131	0.341060215
132	0.3408208842
133	0.3406061642
134	0.3404034793
135	0.340177267
136	0.3399388712
137	0.3396769998
138	0.3394479743
139	0.3392413652
140	0.3390684237
141	0.338859928
142	0.3386336746
143	0.3384630093
144	0.3382537522
145	0.3380949664
146	0.3379294236
147	0.3376822009
148	0.3375530683
149	0.3373453267
150	0.3372118351
151	0.3370148742
152	0.3368061161
153	0.3366602477
154	0.3364626111
155	0.3362183608
156	0.3360993309
157	0.3358415972
158	0.3356831844
159	0.3355176386
160	0.3353173845
161	0.335145472
162	0.3348608342
163	0.3346575408
164	0.3344564407
165	0.3343332524
166	0.3340427381
167	0.3337175716
168	0.3334484677
169	0.3332482023
170	0.3330866654
171	0.3329437153
172	0.3328319047
173	0.3326504999
174	0.3324732616
175	0.3322290147
176	0.3319458458
177	0.3316547057
178	0.3315106969
179	0.3312911744
180	0.3310322778
181	0.3308137609
182	0.3306201222
183	0.3304271014
184	0.3301310113
185	0.3299211188
186	0.3298020911
187	0.3295967938
188	0.3294601238
189	0.3293792444
190	0.3291153921
191	0.3289510056
192	0.3287144994
193	0.328510502
194	0.3282818544
195	0.3280128828
196	0.3278349724
197	0.3276980103
198	0.3275952279
199	0.3274738926
200	0.327328623
201	0.3271867567
202	0.3269896931
203	0.326868013
204	0.3267432977
205	0.326654391
206	0.3264688178
207	0.326377548
208	0.3263031924
209	0.3261102067
210	0.3259446036
211	0.3257062757
212	0.3256007245
213	0.3254716573
214	0.3253316829
215	0.3251701378
216	0.3250516744
217	0.3249749789
218	0.3248394765
219	0.3245770733
220	0.324502738
221	0.3243994279
222	0.3242463199
223	0.3240410685
224	0.3238233074
225	0.3236932305
226	0.3234823024
227	0.3232728276
228	0.3231931601
229	0.3231281625
230	0.3230545745
231	0.3228743029
232	0.3227091789
233	0.3225909867
234	0.3224592359
235	0.3223749687
236	0.3222062421
237	0.3220505729
238	0.3219065769
239	0.3218092927
240	0.3216670488
241	0.3214670177
242	0.3213182946
243	0.3212506131
244	0.3211474916
245	0.3210909983
246	0.3209945806
247	0.3209076558
248	0.3207919393
249	0.3206799243
250	0.320555367
251	0.3204832614
252	0.320382498
253	0.3202184844
254	0.3200884858
255	0.3199825689
256	0.319808685
257	0.3195984646
258	0.3195033751
259	0.3193306916
260	0.3192112038
261	0.3190835399
262	0.3189758976
263	0.3188069006
264	0.3187516937
265	0.3186916836
266	0.3185750942
267	0.3184198813
268	0.3183493779
269	0.318164262
270	0.3180228259
271	0.3180181675
272	0.3178705479
273	0.3178121286
274	0.317753058
275	0.3176897367
276	0.3175323688
277	0.3174486531
278	0.3172732445
279	0.3171449606
280	0.3169904745
281	0.3167997756
282	0.3166056314
283	0.3165166789
284	0.3164092034
285	0.3163098264
286	0.3161892973
287	0.3160589836
288	0.3160005061
289	0.3158546745
290	0.3157748163
291	0.3156139254
292	0.3155306944
293	0.3154822614
294	0.3154266899
295	0.315325112
296	0.3151817869
297	0.3150836439
298	0.3150036982
299	0.3148682093
