iter	Passed	Remaining
0	3	976
1	5	824
2	8	855
3	10	792
4	12	749
5	14	716
6	16	706
7	17	654
8	20	666
9	22	661
10	24	643
11	26	634
12	28	636
13	30	630
14	32	622
15	34	618
16	36	612
17	37	591
18	39	588
19	42	588
20	44	587
21	46	585
22	50	602
23	52	599
24	54	597
25	56	595
26	59	599
27	61	593
28	65	609
29	68	619
30	70	615
31	72	608
32	74	604
33	78	615
34	80	610
35	83	613
36	85	609
37	87	604
38	89	598
39	91	594
40	93	588
41	95	583
42	97	580
43	99	577
44	101	574
45	104	574
46	107	580
47	109	575
48	111	570
49	113	565
50	115	566
51	117	562
52	120	560
53	121	555
54	123	551
55	126	551
56	129	549
57	132	554
58	134	549
59	136	546
60	138	543
61	140	540
62	142	534
63	144	533
64	147	534
65	149	528
66	151	526
67	153	523
68	155	519
69	157	516
70	159	513
71	161	510
72	162	506
73	164	502
74	166	500
75	168	496
76	169	492
77	171	488
78	174	488
79	176	484
80	177	481
81	180	479
82	181	475
83	183	472
84	184	467
85	186	464
86	188	460
87	189	457
88	192	455
89	193	452
90	195	448
91	197	446
92	199	443
93	202	444
94	204	440
95	207	441
96	209	438
97	211	436
98	213	433
99	217	434
100	219	431
101	220	428
102	223	426
103	225	424
104	229	426
105	231	423
106	232	420
107	234	417
108	238	417
109	241	417
110	244	416
111	247	415
112	250	414
113	255	416
114	257	414
115	260	412
116	262	410
117	265	408
118	266	405
119	268	402
120	271	400
121	273	398
122	275	396
123	277	393
124	279	391
125	283	391
126	287	390
127	289	389
128	292	387
129	294	385
130	296	382
131	299	381
132	301	378
133	305	378
134	308	376
135	311	375
136	313	373
137	318	373
138	322	373
139	324	370
140	326	368
141	328	365
142	331	363
143	334	362
144	336	359
145	338	357
146	340	354
147	343	352
148	346	351
149	349	349
150	350	346
151	353	344
152	355	341
153	358	339
154	360	337
155	363	335
156	365	332
157	367	330
158	371	329
159	374	327
160	377	325
161	380	323
162	382	321
163	384	318
164	386	316
165	389	314
166	391	311
167	396	311
168	398	308
169	400	306
170	404	305
171	407	303
172	410	301
173	413	299
174	415	296
175	417	294
176	419	291
177	421	288
178	422	285
179	426	284
180	429	282
181	431	279
182	434	277
183	438	276
184	440	274
185	442	271
186	444	268
187	446	266
188	448	263
189	451	261
190	455	259
191	457	257
192	460	255
193	461	252
194	464	250
195	466	247
196	468	244
197	470	242
198	473	240
199	476	238
200	478	235
201	481	233
202	483	231
203	486	228
204	489	226
205	491	224
206	494	221
207	496	219
208	498	216
209	500	214
210	503	212
211	505	209
212	508	207
213	511	205
214	514	203
215	515	200
216	517	197
217	519	195
218	521	192
219	523	190
220	525	187
221	527	185
222	529	182
223	531	180
224	534	178
225	536	175
226	538	173
227	541	170
228	543	168
229	545	166
230	547	163
231	551	161
232	553	159
233	556	156
234	557	154
235	560	151
236	562	149
237	565	147
238	567	144
239	570	142
240	573	140
241	575	137
242	578	135
243	579	133
244	582	130
245	584	128
246	587	125
247	589	123
248	592	121
249	594	118
250	596	116
251	599	114
252	601	111
253	603	109
254	605	106
255	608	104
256	610	102
257	613	99
258	616	97
259	619	95
260	621	92
261	624	90
262	626	88
263	629	85
264	631	83
265	636	81
266	638	78
267	641	76
268	644	74
269	647	71
270	650	69
271	651	67
272	653	64
273	656	62
274	659	59
275	661	57
276	664	55
277	667	52
278	670	50
279	671	47
280	675	45
281	677	43
282	680	40
283	682	38
284	684	36
285	687	33
286	689	31
287	692	28
288	694	26
289	697	24
290	698	21
291	700	19
292	702	16
293	704	14
294	706	11
295	709	9
296	712	7
297	714	4
298	716	2
299	719	0
